quantity;price;n_day_orders;n_day_sells;prod;date;weekday;year;day
28;4;54;131;salamella;2021-09-21;mar;2021;21
14;3;54;131;cotto_e_fontina;2021-09-21;mar;2021;21
2;3;54;131;vegetariano;2021-09-21;mar;2021;21
5;3;54;131;speck;2021-09-21;mar;2021;21
5;3;54;131;hot_dog;2021-09-21;mar;2021;21
6;2;54;131;patatine;2021-09-21;mar;2021;21
12;2,5;54;131;birra;2021-09-21;mar;2021;21
1;2;54;131;mozza;2021-09-21;mar;2021;21
10;2,5;54;131;piadine nutella;2021-09-21;mar;2021;21
36;1;54;131;patatine;2021-09-21;mar;2021;21
12;1;54;131;mozza;2021-09-21;mar;2021;21
35;4;46;116;salamella;2021-09-22;mer;2021;22
8;3;46;116;cotto_e_fontina;2021-09-22;mer;2021;22
3;3;46;116;vegetariano;2021-09-22;mer;2021;22
2;3;46;116;speck;2021-09-22;mer;2021;22
6;3;46;116;hot_dog;2021-09-22;mer;2021;22
13;2;46;116;patatine;2021-09-22;mer;2021;22
0;2,5;46;116;birra;2021-09-22;mer;2021;22
2;2;46;116;mozza;2021-09-22;mer;2021;22
2;2,5;46;116;piadine nutella;2021-09-22;mer;2021;22
39;1;46;116;patatine;2021-09-22;mer;2021;22
6;1;46;116;mozza;2021-09-22;mer;2021;22
53;4;61;187;salamella;2021-09-23;gio;2021;23
7;3;61;187;cotto_e_fontina;2021-09-23;gio;2021;23
5;3;61;187;vegetariano;2021-09-23;gio;2021;23
11;3;61;187;speck;2021-09-23;gio;2021;23
7;3;61;187;hot_dog;2021-09-23;gio;2021;23
6;2;61;187;patatine;2021-09-23;gio;2021;23
14;2,5;61;187;birra;2021-09-23;gio;2021;23
1;2;61;187;mozza;2021-09-23;gio;2021;23
13;2,5;61;187;piadine nutella;2021-09-23;gio;2021;23
63;1;61;187;patatine;2021-09-23;gio;2021;23
7;1;61;187;mozza;2021-09-23;gio;2021;23
81;4;92;313;salamella;2021-09-24;ven;2021;24
10;3;92;313;cotto_e_fontina;2021-09-24;ven;2021;24
13;3;92;313;vegetariano;2021-09-24;ven;2021;24
8;3;92;313;speck;2021-09-24;ven;2021;24
19;3;92;313;hot_dog;2021-09-24;ven;2021;24
14;2;92;313;patatine;2021-09-24;ven;2021;24
37;2,5;92;313;birra;2021-09-24;ven;2021;24
7;2;92;313;mozza;2021-09-24;ven;2021;24
4;2,5;92;313;piadine nutella;2021-09-24;ven;2021;24
114;1;92;313;patatine;2021-09-24;ven;2021;24
6;1;92;313;mozza;2021-09-24;ven;2021;24
40;4;83;213;salamella;2022-09-20;mar;2022;20
37;3,5;83;213;speck;2022-09-20;mar;2022;20
22;3,5;83;213;hot_dog;2022-09-20;mar;2022;20
15;3,5;83;213;cotto_e_fontina;2022-09-20;mar;2022;20
0;3,5;83;213;vegetariano;2022-09-20;mar;2022;20
40;2,5;83;213;patatine;2022-09-20;mar;2022;20
16;1,5;83;213;patatine;2022-09-20;mar;2022;20
3;2,5;83;213;panzerotti;2022-09-20;mar;2022;20
5;2,5;83;213;mozza;2022-09-20;mar;2022;20
5;2,5;83;213;piadine nutella;2022-09-20;mar;2022;20
30;3;83;213;birra;2022-09-20;mar;2022;20
90;4;115;297;salamella;2022-09-21;mer;2022;21
17;3,5;115;297;speck;2022-09-21;mer;2022;21
11;3,5;115;297;hot_dog;2022-09-21;mer;2022;21
6;3,5;115;297;cotto_e_fontina;2022-09-21;mer;2022;21
7;3,5;115;297;vegetariano;2022-09-21;mer;2022;21
19;2,5;115;297;patatine;2022-09-21;mer;2022;21
72;1,5;115;297;patatine;2022-09-21;mer;2022;21
15;2,5;115;297;panzerotti;2022-09-21;mer;2022;21
8;2,5;115;297;mozza;2022-09-21;mer;2022;21
9;2,5;115;297;piadine nutella;2022-09-21;mer;2022;21
43;3;115;297;birra;2022-09-21;mer;2022;21
54;4;88;225;salamella;2022-09-22;gio;2022;22
14;3,5;88;225;speck;2022-09-22;gio;2022;22
15;3,5;88;225;hot_dog;2022-09-22;gio;2022;22
7;3,5;88;225;cotto_e_fontina;2022-09-22;gio;2022;22
3;3,5;88;225;vegetariano;2022-09-22;gio;2022;22
18;2,5;88;225;patatine;2022-09-22;gio;2022;22
44;1,5;88;225;patatine;2022-09-22;gio;2022;22
18;2,5;88;225;panzerotti;2022-09-22;gio;2022;22
13;2,5;88;225;mozza;2022-09-22;gio;2022;22
10;2,5;88;225;piadine nutella;2022-09-22;gio;2022;22
29;3;88;225;birra;2022-09-22;gio;2022;22
125;4;213;554;salamella;2022-09-23;ven;2022;23
35;3,5;213;554;speck;2022-09-23;ven;2022;23
38;3,5;213;554;hot_dog;2022-09-23;ven;2022;23
10;3,5;213;554;cotto_e_fontina;2022-09-23;ven;2022;23
12;3,5;213;554;vegetariano;2022-09-23;ven;2022;23
35;2,5;213;554;patatine;2022-09-23;ven;2022;23
124;1,5;213;554;patatine;2022-09-23;ven;2022;23
34;2,5;213;554;panzerotti;2022-09-23;ven;2022;23
31;2,5;213;554;mozza;2022-09-23;ven;2022;23
15;2,5;213;554;piadine nutella;2022-09-23;ven;2022;23
95;3;213;554;birra;2022-09-23;ven;2022;23
15;4,5;54;92;salamella;2023-09-25;lun;2023;25
2;4,5;54;92;cotto_e_fontina;2023-09-25;lun;2023;25
2;3,5;54;92;speck_e_tomino;2023-09-25;lun;2023;25
1;3,5;54;92;speck_e_brie;2023-09-25;lun;2023;25
2;3,5;54;92;pancetta_e_scamorza;2023-09-25;lun;2023;25
1;3,5;54;92;hamburger_suino;2023-09-25;lun;2023;25
12;3,5;54;92;hot_dog;2023-09-25;lun;2023;25
3;3,5;54;92;vegetariano;2023-09-25;lun;2023;25
12;4,5;22;49;salamella;2023-09-26;mar;2023;26
3;4,5;22;49;cotto_e_fontina;2023-09-26;mar;2023;26
1;3,5;22;49;speck_e_tomino;2023-09-26;mar;2023;26
0;3,5;22;49;speck_e_brie;2023-09-26;mar;2023;26
7;3,5;22;49;pancetta_e_scamorza;2023-09-26;mar;2023;26
3;3,5;22;49;hamburger_suino;2023-09-26;mar;2023;26
0;3,5;22;49;hot_dog;2023-09-26;mar;2023;26
2;3,5;22;49;vegetariano;2023-09-26;mar;2023;26
53;4,5;132;302;salamella;2023-09-27;mer;2023;27
8;4,5;132;302;cotto_e_fontina;2023-09-27;mer;2023;27
14;3,5;132;302;speck_e_tomino;2023-09-27;mer;2023;27
3;3,5;132;302;speck_e_brie;2023-09-27;mer;2023;27
1;3,5;132;302;pancetta_e_scamorza;2023-09-27;mer;2023;27
17;3,5;132;302;hamburger_suino;2023-09-27;mer;2023;27
14;3,5;132;302;hot_dog;2023-09-27;mer;2023;27
3;3,5;132;302;vegetariano;2023-09-27;mer;2023;27
43;3,5;132;302;birra;2023-09-27;mer;2023;27
